Application,General_Name,Category,Approved,PO_number,Quantity,PO_Order_Date,Term_Start_date,Term_End_date,Unit_Price,Total_Amount
EdrawMind(Build 10.0.9.199),EdrawMind,Freeware,,,,,,,,
Efficient Elements for presentations - Standard Edition,Efficient Elements,Licensed,YES,12181683,32,2023-09-11,2023-10-01,2024-09-30,150.39,4812.48
EFI Flexera License Manager (remove only),FlexNet Inventory Agent,Licensed,YES,11992735,8000,2021-10-27,2021-09-29,2024-09-28,110683.39,110683.39
EFI License Manager,FlexNet Inventory Agent,Licensed,YES,11992735,8000,2021-10-27,2021-09-29,2024-09-28,110683.39,110683.39
EFI Measurement Service,FlexNet Inventory Agent,Licensed,YES,11992735,8000,2021-10-27,2021-09-29,2024-09-28,110683.39,110683.39
EFI_Lib,FlexNet Inventory Agent,Licensed,YES,11992735,8000,2021-10-27,2021-09-29,2024-09-28,110683.39,110683.39
EFI_LinQ,FlexNet Inventory Agent,Licensed,YES,11992735,8000,2021-10-27,2021-09-29,2024-09-28,110683.39,110683.39
Electronic Data Sheets Reader,Rockwell Automation,Licensed,NO,,,,,,,
Elegant Ribbon 4.6,Elegant Ribbon,Freeware,,,,,,,,
Elevated Installer,Elevated Installer,Freeware,,,,,,,,
eLicenser Control,eLicenser Control,Freeware,,,,,,,,
Elixir DesignPro Tools 4.00.00,Elixir DesignPro Tools,Freeware,,,,,,,,
Elixir License Framework,Elixir License Framework,Freeware,,,,,,,,
Elixir PrintDriver 4.00.00,Miscellaneous Drivers,Freeware,,,,,,,,
Elixir Scout 4.00.00,Elixir Scout 4.00.00,Licensed,NO,,,,,,,
EManager,EManager,Freeware,,,,,,,,
Embrava Connect,Embrava Connect,Freeware,,,,,,,,
emBridge,emBridge,Freeware,,,,,,,,
EMC IRM Common,EMC IRM Common,Licensed,NO,,,,,,,
EmEditor (64-bit),EmEditor (64-bit),Freeware,,,,,,,,
EMEETLINK,EMEETLINK,Freeware,,,,,,,,
emSigner,emSigner,Freeware,,,,,,,,
eMule,eMule,Freeware,,,,,,,,
Endicia Professional,Endicia Professional,Licensed,YES,,,,,,,
Endress+Hauser EtherNet/IP Analysis Module Profiles,Endress+Hauser EtherNet/IP Module Profiles,Freeware,,,,,,,,
Endress+Hauser EtherNet/IP Comm Module Profiles,Endress+Hauser EtherNet/IP Module Profiles,Freeware,,,,,,,,
Endress+Hauser EtherNet/IP Data Manager Module Profiles,Endress+Hauser EtherNet/IP Module Profiles,Freeware,,,,,,,,
Endress+Hauser EtherNet/IP Module Profiles,Endress+Hauser EtherNet/IP Module Profiles,Freeware,,,,,,,,
Endress+Hauser EtherNet/IP Proline MAG Module Profiles,Endress+Hauser EtherNet/IP Module Profiles,Freeware,,,,,,,,
Endress+Hauser EtherNet/IP Proline MASS Module Profiles,Endress+Hauser EtherNet/IP Module Profiles,Freeware,,,,,,,,
enteliWEB,Delta Controls,Licensed,YES,,,,,,,
Enterprise Mode Site List Manager,Enterprise Mode Site List Manager,Freeware,,,,,,,,
Enterprise Provisioner,Honeywell,Licensed,YES,,,,,,,
Entity Framework 6.1.3 Tools for Visual Studio 2015 Update 1,Microsoft Visual Studio components,Licensed,YES,,,,,,,
Entity Framework 6.2.0 Tools for Visual Studio 2017,Microsoft Visual Studio 2017,Licensed,YES,,,,,,,
Entity Framework 6.2.0 Tools for Visual Studio 2019,Microsoft Visual Studio 2019,Licensed,YES,11687497,187,2019-04-05,1900-01-00,1900-01-00,358,64440
Entity Framework 6.2.0 Tools for Visual Studio 2022,Microsoft Visual Studio components,Licensed,YES,,,,,,,
Entrust IdentityGuard Soft Token 2.0,Entrust IdentityGuard Soft Token,Licensed,YES,12084139,1,2022-09-30,2022-10-01,2025-09-30,220456,220456
Entrust IdentityGuard Soft Token 2.0 Patch,Entrust IdentityGuard Soft Token,Licensed,YES,12084139,1,2022-09-30,2022-10-01,2025-09-30,220456,220456
Entrust IdentityGuard Soft Token 2.0 Patch 207384,Entrust IdentityGuard Soft Token,Licensed,YES,12084139,1,2022-09-30,2022-10-01,2025-09-30,220456,220456
Entrust IdentityGuard Soft Token 2.0 Patch 286440,Entrust IdentityGuard Soft Token,Licensed,YES,12084139,1,2022-09-30,2022-10-01,2025-09-30,220456,220456
EOS Webcam Utility,EOS Webcam Utility,Freeware,,,,,,,,
ePass2003,ePass2003,Freeware,,,,,,,,
EPI Suite 6.3,EPI Suite ,Freeware,,,,,,,,
Epic Games Launcher,Epic Games Launcher,Freeware,,,,,,,,
Epic Games Launcher Prerequisites (x64),Epic Games Launcher,Freeware,,,,,,,,
Epic Online Services,Epic Online Services,Freeware,,,,,,,,
EPSON Advanced Printer Driver for TM-H6000V Ver.5,Epson Printer / Scanner Software,Freeware,,,,,,,,
EPSON APD5 Plugin for TM-H6000V,Epson Printer / Scanner Software,Freeware,,,,,,,,
EPSON APD5 PrinterReg for TM-H6000V,Epson Printer / Scanner Software,Freeware,,,,,,,,
Epson Connect Printer Setup,Epson Printer / Scanner Software,Freeware,,,,,,,,
Epson Customer Research Participation,Epson Printer / Scanner Software,Freeware,,,,,,,,
EPSON ET-2720 Series Printer Uninstall,Epson Printer / Scanner Software,Freeware,,,,,,,,
Epson ET-2720 User’s Guide,Epson Printer / Scanner Software,Freeware,,,,,,,,
EPSON ET-2760 Series Printer Uninstall,Epson Printer / Scanner Software,Freeware,,,,,,,,
Epson ET-2760 User’s Guide,Epson Printer / Scanner Software,Freeware,,,,,,,,
EPSON ET-3760 Series Printer Uninstall,Epson Printer / Scanner Software,Freeware,,,,,,,,
EPSON ET-4800 Series Printer Uninstall,Epson Printer / Scanner Software,Freeware,,,,,,,,
Epson Event Manager,Epson Printer / Scanner Software,Freeware,,,,,,,,
Epson FAX Utility,Epson Printer / Scanner Software,Freeware,,,,,,,,
Epson iProjection Ver.2.22,Epson Printer / Scanner Software,Freeware,,,,,,,,
EPSON L3110 Series Printer Uninstall,Epson Printer / Scanner Software,Freeware,,,,,,,,
EPSON L3150 Series Printer Uninstall,Epson Printer / Scanner Software,Freeware,,,,,,,,
EPSON Manuals,Epson Printer / Scanner Software,Freeware,,,,,,,,
Epson PC-FAX Driver,Epson Printer / Scanner Software,Freeware,,,,,,,,
Epson Photo+,Epson Printer / Scanner Software,Freeware,,,,,,,,
EPSON Port Communication Service,Epson Printer / Scanner Software,Freeware,,,,,,,,
Epson PowerENGAGE 3.5.1,Epson Printer / Scanner Software,Freeware,,,,,,,,
Epson Print CD,Epson Printer / Scanner Software,Freeware,,,,,,,,
Epson Printer Connection Checker,Epson Printer / Scanner Software,Freeware,,,,,,,,
EPSON Printer Software,Epson Printer / Scanner Software,Freeware,,,,,,,,
Epson ReadyInk Agent (A),Epson Printer / Scanner Software,Freeware,,,,,,,,
EPSON Remote Print Uninstall,Epson Printer / Scanner Software,Freeware,,,,,,,,
EPSON Scan,Epson Printer / Scanner Software,Freeware,,,,,,,,
Epson Scan 2,Epson Printer / Scanner Software,Freeware,,,,,,,,
EPSON Scan OCR Component,Epson Printer / Scanner Software,Freeware,,,,,,,,
Epson Scan OCR Component Pro,Epson Printer / Scanner Software,Freeware,,,,,,,,
EPSON Scan PDF EXtensions,Epson Printer / Scanner Software,Freeware,,,,,,,,
Epson ScanSmart,Epson Printer / Scanner Software,Freeware,,,,,,,,
EPSON SC-P9000 Series Printer Uninstall,Epson Printer / Scanner Software,Freeware,,,,,,,,
Epson Software Updater,Epson Printer / Scanner Software,Freeware,,,,,,,,
EPSON TM Bluetooth Connector,Epson Printer / Scanner Software,Freeware,,,,,,,,
EPSON TM-H6000V Utility,Epson Printer / Scanner Software,Freeware,,,,,,,,
EPSON TM-S1000 Driver Version1.06,Epson Printer / Scanner Software,Freeware,,,,,,,,
EPSON TM-S1000 Driver Version1.06 EMEA,Epson Printer / Scanner Software,Freeware,,,,,,,,
EPSON Universal Print Driver Printer Uninstall,Epson Printer / Scanner Software,Freeware,,,,,,,,
Epson USB Display,Epson Printer / Scanner Software,Freeware,,,,,,,,
EPSON WF-3520 Series Printer Uninstall,Epson Printer / Scanner Software,Freeware,,,,,,,,
EPSON WF-3820 Series Printer Uninstall,Epson Printer / Scanner Software,Freeware,,,,,,,,
Epson WF-3820 User’s Guide,Epson Printer / Scanner Software,Freeware,,,,,,,,
EPSON WF-4740 Series Printer Uninstall,Epson Printer / Scanner Software,Freeware,,,,,,,,
EPSON WorkForce 545 Series Printer Uninstall,Epson Printer / Scanner Software,Freeware,,,,,,,,
EPSON XP-410 Series Printer Uninstall,Epson Printer / Scanner Software,Freeware,,,,,,,,
EPSON XP-4100 Series Printer Uninstall,Epson Printer / Scanner Software,Freeware,,,,,,,,
Epson XP-4100_XP-4105 User’s Guide,Epson Printer / Scanner Software,Freeware,,,,,,,,
EPSON XP-4150 Series Printer Uninstall,Epson Printer / Scanner Software,Freeware,,,,,,,,
EPSON XP-6000 Series Printer Uninstall,Epson Printer / Scanner Software,Freeware,,,,,,,,
EPSON XP-7100 Series Printer Uninstall,Epson Printer / Scanner Software,Freeware,,,,,,,,
Epson XP-7100 User’s Guide,Epson Printer / Scanner Software,Freeware,,,,,,,,
EpsonNet Print,Epson Printer / Scanner Software,Freeware,,,,,,,,
Equalizer APO,Equalizer APO,Freeware,,,,,,,,
Erlang OTP 22 (10.6),Erlang OTP,Freeware,,,,,,,,
Erlang OTP 24.2.2 (12.2.1),Erlang OTP,Freeware,,,,,,,,
Erlang OTP 25.3.2 (13.2.2),Erlang OTP,Freeware,,,,,,,,
Erlang OTP 26.1.2 (14.1.1),Erlang OTP,Freeware,,,,,,,,
erLT,erLT,Freeware,,,,,,,,
erwin Data Modeler 2018 R1 (64-bit),erwin Data Modeler,Licensed,YES,12030407,5,2022-03-14,2022-03-20,2025-03-19,10799.61,10799.61
ETBAddInSetup,Oracle BI Publisher Desktop,Freeware,,,,,,,,
ETBAddInSetup64,Oracle BI Publisher Desktop,Freeware,,,,,,,,
EtherNet IP Address Commissioning Tool,Rockwell Automation,Licensed,NO,,,,,,,
eTransmit for Autodesk Revit 2020,Autodesk Revit,Licensed,YES,12001806,1,2021-11-24,2022-01-21,2025-01-21,205931.12,205931.12
eTransmit for Autodesk Revit 2022,Autodesk Revit,Licensed,YES,12001806,1,2021-11-24,2022-01-21,2025-01-21,205931.12,205931.12
Evernote v. 6.13.13,Evernote ,Freeware,,,,,,,,
Evernote v. 6.18.4,Evernote ,Freeware,,,,,,,,
Evernote v. 6.25.1,Evernote ,Freeware,,,,,,,,
Evernote v. 6.7.5,Evernote ,Freeware,,,,,,,,
exacqVision Client (x64),exacqVision Client,Freeware,,,,,,,,
exacqVision Client (x86),exacqVision Client,Freeware,,,,,,,,
exacqVision Server (x64),exacqVision Server,Freeware,,,,,,,,
exacqVision Server (x86),exacqVision Server,Freeware,,,,,,,,
exacqVision Web Service (x64),exacqVision Web Service,Freeware,,,,,,,,
exacqVision Web Service (x86),exacqVision Web Service,Freeware,,,,,,,,
"ExamDiff Pro 14.0 (14.0.1.19, 64-bit)",ExamDiff Pro,Freeware,,,,,,,,
Expert Tax 2020 ©,Expert Tax,Licensed,YES,,,,,,,
Expert Tax 2021 ©,Expert Tax,Licensed,YES,,,,,,,
Expert Tax 2022 ©,Expert Tax,Licensed,YES,,,,,,,
ExplorerPatcher,ExplorerPatcher,Freeware,,,,,,,,
Express Zip File Compression,Express Zip File Compression,Freeware,,,,,,,,
ExpressConnect Drivers & Services,Miscellaneous Drivers,Freeware,,,,,,,,
Expresso,Expresso,Freeware,,,,,,,,
Extended Asian Language font pack for Adobe Acrobat Reader DC,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Extron Electronics - ShareLink,Extron Electronics - Sharelink,Freeware,,,,,,,,
EZ13,EZ13,Freeware,,,,,,,,
Facebook Gameroom 1.21.6907.27509,Facebook Gameroom ,Freeware,,,,,,,,
FactoryTalk Activation Manager 4.00.02,Rockwell Automation,Licensed,NO,,,,,,,
FactoryTalk Activation Manager 4.03.03,Rockwell Automation,Licensed,NO,,,,,,,
FactoryTalk Activation Manager 4.04.00,Rockwell Automation,Licensed,NO,,,,,,,
FactoryTalk Activation Manager 4.04.14,Rockwell Automation,Licensed,NO,,,,,,,
FactoryTalk Activation Manager 4.06.13,Rockwell Automation,Licensed,NO,,,,,,,
FactoryTalk Activation Manager 5.00.00,Rockwell Automation,Licensed,NO,,,,,,,
FactoryTalk Activation Manager 5.00.11,Rockwell Automation,Licensed,NO,,,,,,,
FactoryTalk Activation Manager 5.00.12,Rockwell Automation,Licensed,NO,,,,,,,
FactoryTalk Alarms and Events 2.90.00 (CPR 9 SR 9),Rockwell Automation,Licensed,NO,,,,,,,
FactoryTalk Alarms and Events 6.11.00 (CPR 9 SR 11),Rockwell Automation,Licensed,NO,,,,,,,
FactoryTalk Alarms and Events 6.31.00 (CPR 9 SR 13),Rockwell Automation,Licensed,NO,,,,,,,
FactoryTalk Diagnostics 2.90.00 (CPR 9 SR 9),Rockwell Automation,Licensed,NO,,,,,,,
FactoryTalk Diagnostics 6.11.00 (CPR 9 SR 11),Rockwell Automation,Licensed,NO,,,,,,,
FactoryTalk Diagnostics 6.30.00 (CPR 9 SR 13),Rockwell Automation,Licensed,NO,,,,,,,
FactoryTalk Diagnostics 6.31.00 (CPR 9 SR 13),Rockwell Automation,Licensed,NO,,,,,,,
FactoryTalk Linx 6.11.00 (CPR 9 SR 11.0),Rockwell Automation,Licensed,NO,,,,,,,
FactoryTalk Linx 6.31.00 (CPR 9 SR 13.0),Rockwell Automation,Licensed,NO,,,,,,,
FactoryTalk Linx Redundancy Module Configuration Tool,Rockwell Automation,Licensed,NO,,,,,,,
FactoryTalk Services 6.31.00 (CPR 9 SR 13.0),Rockwell Automation,Licensed,NO,,,,,,,
FactoryTalk Services Platform 2.90.00 (CPR 9 SR 9),Rockwell Automation,Licensed,NO,,,,,,,
FactoryTalk Services Platform 3.00.00 (CPR 9 SR 10),Rockwell Automation,Licensed,NO,,,,,,,
FactoryTalk Services Platform 6.11.00 (CPR 9 SR 11),Rockwell Automation,Licensed,NO,,,,,,,
FactoryTalk Services Platform 6.31.00 (CPR 9 SR 13),Rockwell Automation,Licensed,NO,,,,,,,
FactoryTalk Updater 1.00.01,Rockwell Automation,Licensed,NO,,,,,,,
FactoryTalk Updater Agent 2.00.00,Rockwell Automation,Licensed,NO,,,,,,,
FactoryTalk Updater Agent 3.00.11,Rockwell Automation,Licensed,NO,,,,,,,
FactoryTalk Updater Agent 4.00.00,Rockwell Automation,Licensed,NO,,,,,,,
FactoryTalk View ME to Studio 5000 View Designer Conversion Tool,Rockwell Automation,Licensed,NO,,,,,,,
FactoryTalk View Site Edition Server 7.00.00,Rockwell Automation,Licensed,NO,,,,,,,
FactoryTalk View Studio for Machine Edition 10.00.00 (CPR 9 SR 10),Rockwell Automation,Licensed,NO,,,,,,,
FactoryTalk View Studio for Machine Edition 11.00.00 (CPR 9 SR 11),Rockwell Automation,Licensed,NO,,,,,,,
FactoryTalk ViewPoint ME 10.00.00 (CPR 9 SR 10),Rockwell Automation,Licensed,NO,,,,,,,
FactoryTalk ViewPoint ME 11.00.00 (CPR 9 SR 11),Rockwell Automation,Licensed,NO,,,,,,,
FactoryTalk® View Site Edition Server 7.00.00 (CPR 9 SR 6),Rockwell Automation,Licensed,NO,,,,,,,
FactoryTalk® View Studio Enterprise 7.00.00 (CPR 9 SR 6),Rockwell Automation,Licensed,NO,,,,,,,
FANUC CNC EtherNet/IP Specialty Module Profiles,FANUC CNC EtherNet/IP Module Profiles,Freeware,,,,,,,,
FANUC CNC with EDA EtherNet/IP Specialty Module Profiles,FANUC CNC EtherNet/IP Module Profiles,Freeware,,,,,,,,
FANUC Robotics EtherNet/IP Specialty Module Profiles,FANUC CNC EtherNet/IP Module Profiles,Freeware,,,,,,,,
FARGO Workbench,FARGO Workbench,Freeware,,,,,,,,
Farnsworth-Munsell 100 Hue Test version 4.0.6,Farnsworth-Munsell 100 Hue Test ,Freeware,,,,,,,,
FARO LS 1.1.501.0 (64bit),FARO LS 1.1.501.0 ,Freeware,,,,,,,,
FarPoint Spread 3.5 Add-on,Microsoft Office / 365,Image,,,,,,,,
FastImageResizer (remove only),FastImageResizer (remove only),Freeware,,,,,,,,
FastStone Capture 9.3,FastStone Capture ,Freeware,,,,,,,,
FastStone Photo Resizer 3.6,FastStone Photo Resizer,Freeware,,,,,,,,
Fiery Command WorkStation Package-6.5.0.292,Fiery Command Workstation Package,Freeware,,,,,,,,
Fiery Command WorkStation Package-6.8.0.366,Fiery Command Workstation Package,Freeware,,,,,,,,
Fiery Makeready License Activation,Fiery Makeready License Activation,Freeware,,,,,,,,
Fiery Measure,Fiery Measure,Freeware,,,,,,,,
Fiery Preflight Pro,Fiery Preflight Pro,Freeware,,,,,,,,
Fiery Print Scheduler,Fiery Print Scheduler,Freeware,,,,,,,,
FieryConfigure,FieryConfigure,Freeware,,,,,,,,
FieryFinisher,FieryFinisher,Freeware,,,,,,,,
FieryHealthMonitor,FieryHealthMonitor,Freeware,,,,,,,,
FieryImageViewer-4.3.0.19,FieryImageViewer,Freeware,,,,,,,,
FieryImageViewer-4.6.0.22,FieryImageViewer,Freeware,,,,,,,,
FierySearchApp,FierySearchApp,Freeware,,,,,,,,
File Converter (64 bit),File Converter (64 bit),Freeware,,,,,,,,
File Download ActiveX,File Download ActiveX,Freeware,,,,,,,,
File Viewer Plus 3,File Viewer Plus 3,Licensed,,,,,,,,
FileLocator Pro/Lite,FileLocator Pro/Lite,Freeware,,,,,,,,
FileMaker Pro 18 Advanced,FileMaker Pro,Licensed,YES,12230792,150,2024-03-07,2024-03-27,2026-03-26,231.96,34794
FileMaker Pro 18 Advanced (x64),FileMaker Pro,Licensed,YES,12230792,150,2024-03-07,2024-03-27,2026-03-26,231.96,34794
FileMaker Pro 19,FileMaker Pro,Licensed,YES,12230792,150,2024-03-07,2024-03-27,2026-03-26,231.96,34794
FileMaker Pro 19 (x64),FileMaker Pro,Licensed,YES,12230792,150,2024-03-07,2024-03-27,2026-03-26,231.96,34794
FileZilla 3.61.0,FileZilla,Freeware,,,,,,,,
FileZilla 3.62.0,FileZilla,Freeware,,,,,,,,
FileZilla 3.63.2.1,FileZilla,Freeware,,,,,,,,
FileZilla 3.65.0,FileZilla,Freeware,,,,,,,,
FileZilla 3.66.0,FileZilla,Freeware,,,,,,,,
FileZilla 3.66.4,FileZilla,Freeware,,,,,,,,
FileZilla Client 3.25.1,FileZilla,Freeware,,,,,,,,
FileZilla Client 3.34.0,FileZilla,Freeware,,,,,,,,
FileZilla Client 3.36.0,FileZilla,Freeware,,,,,,,,
FileZilla Client 3.51.0,FileZilla,Freeware,,,,,,,,
FileZilla Client 3.56.0,FileZilla,Freeware,,,,,,,,
FileZilla Client 3.57.0,FileZilla,Freeware,,,,,,,,
FileZilla Client 3.58.0,FileZilla,Freeware,,,,,,,,
FileZilla Client 3.59.0,FileZilla,Freeware,,,,,,,,
FileZilla FTP Client v3.5.0,FileZilla,Freeware,,,,,,,,
FileZilla Server,FileZilla,Freeware,,,,,,,,
Fingerprint Reader Driver 2.3.3.5,Miscellaneous Drivers,Freeware,,,,,,,,
Fingerprint Reader Driver 5.0.0.22,Miscellaneous Drivers,Freeware,,,,,,,,
Firebus 1756 Specialty Module Profiles,Rockwell Automation,Licensed,NO,,,,,,,
Firefox Developer Edition (x64 en-US),Firefox Developer Edition (x64 en-US),Freeware,,,,,,,,
Firmware Downloader and ZBI Key Manager,Zebra Software,Freeware,,,,,,,,
Firmware Loader V 1.8,Firmware Loader,Freeware,,,,,,,,
Flatbed Scanner Unit 201 UserManual,Flatbed Scanner Unit 201 UserManual,Freeware,,,,,,,,
FlexNet Inventory Agent,FlexNet Inventory Agent,Licensed,YES,11992735,8000,2021-10-27,2021-09-29,2024-09-28,110683.39,110683.39
FlexPLM Design Suite,FlexPLM Design Suite,Licensed,YES,12058052,1,2022-06-29,2022-07-01,2025-06-30,2734047,2734047
FLIR Systems Axx/Axxx Smart Sensor EtherNet/IP Module Profile,FLIR Systems Axx/Axxx Smart Sensor EtherNet/IP Module Profile,Freeware,,,,,,,,
FLIR Systems EtherNet/IP Specialty Module Profiles,FLIR Systems EtherNet/IP Specialty Module Profiles,Freeware,,,,,,,,
FlowSetup,HP Software,Image,,,,,,,,
FlukeView ScopeMeter 5,FlukeView ScopeMeter ,Freeware,,,,,,,,
Focus Magic 5.0,Focus Magic,Freeware,,,,,,,,
Folder Size 5.3.0.2,Folder Size ,Freeware,,,,,,,,
FoneLab 9.1.98,FoneLab,Freeware,,,,,,,,
FontAgent 8,FontAgent ,Licensed,YES,12243937,300,2024-05-01,2024-05-15,2025-05-14,14249,14249
FontAgent 9,FontAgent ,Licensed,YES,12243937,300,2024-05-01,2024-05-15,2025-05-14,14249,14249
FontForge version 01-01-2023,FontForge,Freeware,,,,,,,,
FontForge version 14-03-2020,FontForge,Freeware,,,,,,,,
FontInstaller,FontInstaller,Freeware,,,,,,,,
Forge OS Robot Interface Module Profiles,Forge OS Robot Interface Module Profiles,Freeware,,,,,,,,
FormIt Converter For Revit 2020,Autodesk Revit,Licensed,YES,12001806,1,2021-11-24,2022-01-21,2025-01-21,205931.12,205931.12
FormIt Converter for Revit 2022,Autodesk Revit,Licensed,YES,12001806,1,2021-11-24,2022-01-21,2025-01-21,205931.12,205931.12
FormManager version 3.03E (DEVELOPER),FormManager version 3.03E (DEVELOPER),Freeware,,,,,,,,
Forms Data Loader Trial Edition,Forms Data Loader Trial Edition,Freeware,,,,,,,,
FormsComponent,FormsComponent,Freeware,,,,,,,,
FORScan version 2.3.58.release,FORScan,Freeware,,,,,,,,
Fortify Macro Recorder 5.0,Fortify Macro Recorder,Freeware,,,,,,,,
FOSS,FOSS,Freeware,,,,,,,,
Four J's Windows Front End 3.50.1a,Four J's Windows Front End,Licensed,,,,,,,,
Four J's Windows Front End 3.50.1a - Columbus,Four J's Windows Front End,Licensed,,,,,,,,
Four J's Windows Front End 3.50.1a Rev2 - Lenexa,Four J's Windows Front End,Licensed,,,,,,,,
Four J's Windows Front End 3.50.1a Rev2 - Manchester,Four J's Windows Front End,Licensed,,,,,,,,
Four J's Windows Front End 3.50.1a Rev2 - Spanish Fork,Four J's Windows Front End,Licensed,,,,,,,,
Four J's Windows Front End 3.55.1a,Four J's Windows Front End,Licensed,,,,,,,,
Foxit PDF Reader,Foxit Reader,Freeware,,,,,,,,
Foxit Reader,Foxit Reader,Freeware,,,,,,,,
FPRTSetup,FPRTSetup,Freeware,,,,,,,,
Free Screen Recorder 8.3.0,Free Screen Record,Freeware,,,,,,,,
Free Snipping Tool,Free Snipping Tool,Freeware,,,,,,,,
Free Stopwatch,Free Stopwatch,Freeware,,,,,,,,
Free Video Cutter Joiner V2023.3,Free Video Cutter Joiner ,Freeware,,,,,,,,
Freedom Scientific Authorization,ZoomText,Licensed,YES,12198182,1,2023-10-20,2023-11-01,2025-10-31,1040.95,1040.95
Freedom Scientific Elevation,ZoomText,Licensed,YES,12198182,1,2023-10-20,2023-11-01,2025-10-31,1040.95,1040.95
Freedom Scientific Error Reporting,ZoomText,Licensed,YES,12198182,1,2023-10-20,2023-11-01,2025-10-31,1040.95,1040.95
Freedom Scientific HookManager 2.0,ZoomText,Licensed,YES,12198182,1,2023-10-20,2023-11-01,2025-10-31,1040.95,1040.95
Freedom Scientific Support Tool,ZoomText,Licensed,YES,12198182,1,2023-10-20,2023-11-01,2025-10-31,1040.95,1040.95
Freedom Scientific Synth,ZoomText,Licensed,YES,12198182,1,2023-10-20,2023-11-01,2025-10-31,1040.95,1040.95
Freedom Scientific Telemetry,ZoomText,Licensed,YES,12198182,1,2023-10-20,2023-11-01,2025-10-31,1040.95,1040.95
Freedom Scientific UIAHooks 1.0,ZoomText,Licensed,YES,12198182,1,2023-10-20,2023-11-01,2025-10-31,1040.95,1040.95
Freedom Scientific Voice Assistant,ZoomText,Licensed,YES,12198182,1,2023-10-20,2023-11-01,2025-10-31,1040.95,1040.95
Freedom Scientific WOW64 Proxy,ZoomText,Licensed,YES,12198182,1,2023-10-20,2023-11-01,2025-10-31,1040.95,1040.95
Freedom Scientific ZoomText 2022,ZoomText,Licensed,YES,12198182,1,2023-10-20,2023-11-01,2025-10-31,1040.95,1040.95
Freedom Scientific ZtVoiceEnable ZrWaveWriter,ZoomText,Licensed,YES,12198182,1,2023-10-20,2023-11-01,2025-10-31,1040.95,1040.95
Freedom Scientific ZtVoiceEnable Zt,ZoomText,Licensed,YES,12198182,1,2023-10-20,2023-11-01,2025-10-31,1040.95,1040.95
FreeFileSync,FreeFileSync,Freeware,,,,,,,,
FreeMind,FreeMind,Freeware,,,,,,,,
FreeWorship 3,FreeWorship,Freeware,,,,,,,,
Fresco Logic USB Display Driver,Miscellaneous Drivers,Freeware,,,,,,,,
FSWSS 1.3.0.0,FSWSS 1.3.0.0,Freeware,,,,,,,,
FTPRush 2.2.0,FTPRush 2.2.0,Freeware,,,,,,,,
Fuji Xerox Network Scanner Utility 3,Xerox Printer / Scanner Software,Freeware,,,,,,,,
Fuji Xerox Network Scanner Utility2,Xerox Printer / Scanner Software,Freeware,,,,,,,,
Fuze (per-user),Fuze (per-user),Freeware,,,,,,,,
Fuze Outlook Add-In (per-user),Fuze Outlook Add-In,Freeware,,,,,,,,
FvTable,FvTable,Licensed,NO,,,,,,,
FX Configurator-EN,FX Configurator-EN,Freeware,,,,,,,,
Garmin City_Navigator_North_America_NT_2023_20,Garmin City_Navigator_North_America_NT_2023_20,Licensed,NO,,,,,,,
Garmin Express,Garmin Express,Freeware,,,,,,,,
GatewayComponents,GatewayComponents,Freeware,,,,,,,,
GDR 2002 for SQL Server 2017 (KB4293803) (64-bit),SQL Server,Freeware,,,,,,,,
GDR 2080 for SQL Server 2019 (KB4583458) (64-bit),SQL Server,Freeware,,,,,,,,
GDR 2095 for SQL Server 2019 (KB5014356) (64-bit),SQL Server,Freeware,,,,,,,,
GDR 2101 for SQL Server 2019 (KB5021125) (64-bit),SQL Server,Freeware,,,,,,,,
GDR 2104 for SQL Server 2019 (KB5029377) (64-bit),SQL Server,Freeware,,,,,,,,
GDR 2269 for SQL Server 2014 (KB3045324) (64-bit),SQL Server,Freeware,,,,,,,,
GDR 2573 for SQL Server 2008 (KB2494096) (64-bit),SQL Server,Freeware,,,,,,,,
GDR 4259 for SQL Server 2016 (KB4505219) (64-bit),SQL Server,Freeware,,,,,,,,
GDR 5108 for SQL Server 2016 (KB5014365) (64-bit),SQL Server,Freeware,,,,,,,,
Generative Design For Revit,Autodesk Revit,Licensed,YES,12001806,1,2021-11-24,2022-01-21,2025-01-21,205931.12,205931.12
Generic PCL6 V4 Desktop Printer Extension,Canon Printer Software,Freeware,,,,,,,,
Generic PCL6 V4 Printer Driver Uninstaller,Canon Printer Software,Freeware,,,,,,,,
GenesysCloud,GenesysCloud,Freeware,,,,,,,,
GenesysCloudBackgroundAssistant,GenesysCloudBackgroundAssistant,Freeware,,,,,,,,
Gerber Problem and Enhancement Report Utility,Gerber Problem and Enhancement Report Utility,Licensed,YES,,,,,,,
Gif Recorder,Gif Recorder,Freeware,,,,,,,,
Gihosoft Video Editor version 2.0.48.0,Gihosoft Video Editor,Freeware,,,,,,,,
GIMP 2.10.22,GIMP,Freeware,,,,,,,,
GIMP 2.10.30,GIMP,Freeware,,,,,,,,
GIMP 2.10.34-2,GIMP,Freeware,,,,,,,,
GIMP 2.10.36,GIMP,Freeware,,,,,,,,
GIMP 2.10.8,GIMP,Freeware,,,,,,,,
Git,Git,Freeware,,,,,,,,
Git Extensions 3.5.4.12724,Git,Freeware,,,,,,,,
Git version 2.10.2,Git,Freeware,,,,,,,,
Git version 2.18.0,Git,Freeware,,,,,,,,
