Application,General_Name,Category,Approved,PO_number,Quantity,PO_Order_Date,Term_Start_date,Term_End_date,Unit_Price,Total_Amount
AdminStudio 2020 R2 Service Pack 1,FlexNet Inventory Agent,Licensed,YES,11992735,8000,2021-10-27,2021-09-29,2024-09-28,110683.39,110683.39
AdminStudio 2023,FlexNet Inventory Agent,Licensed,YES,11992735,8000,2021-10-27,2021-09-29,2024-09-28,110683.39,110683.39
AdminStudio Application Isolation Wizard,FlexNet Inventory Agent,Licensed,YES,11992735,8000,2021-10-27,2021-09-29,2024-09-28,110683.39,110683.39
AdminStudio Application Management,FlexNet Inventory Agent,Licensed,YES,11992735,8000,2021-10-27,2021-09-29,2024-09-28,110683.39,110683.39
AdminStudio Application Virtualization and Repackaging,FlexNet Inventory Agent,Licensed,YES,11992735,8000,2021-10-27,2021-09-29,2024-09-28,110683.39,110683.39
AdminStudio MSIX Editor,FlexNet Inventory Agent,Licensed,YES,11992735,8000,2021-10-27,2021-09-29,2024-09-28,110683.39,110683.39
AdminStudio Process Template Editor,FlexNet Inventory Agent,Licensed,YES,11992735,8000,2021-10-27,2021-09-29,2024-09-28,110683.39,110683.39
AdminStudio Quality Monitor,FlexNet Inventory Agent,Licensed,YES,11992735,8000,2021-10-27,2021-09-29,2024-09-28,110683.39,110683.39
AdminStudio Tuner,FlexNet Inventory Agent,Licensed,YES,11992735,8000,2021-10-27,2021-09-29,2024-09-28,110683.39,110683.39
Adobe Acrobat,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Acrobat (64-bit),Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Acrobat 9 Pro,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
"Adobe Acrobat 9 Pro - English, Français, Deutsch",Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Acrobat 9 Standard,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Acrobat 9.4.1 - CPSID_83708,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Acrobat 9.5.5 - CPSID_83708,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Acrobat DC,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Acrobat DC (64-bit),Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Acrobat Reader,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Acrobat Reader DC,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Acrobat X Pro,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
"Adobe Acrobat X Pro - English, Français, Deutsch",Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Acrobat XI Standard,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe After Effects 2019,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe After Effects 2023,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe After Effects 2024,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe AIR,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Analytics Report Builder 5.6.34,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Analytics Report Builder 5.6.38,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Analytics Report Builder 5.6.50,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Analytics Report Builder 5.6.52,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Analytics Report Builder 5.6.53,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Analytics Report Builder 5.6.54,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Analytics Report Builder 5.6.56,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Animate 2023,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Animate 2024,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Audition 2023,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Audition 2024,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Bridge 2019,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Bridge 2020,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Bridge 2021,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Bridge 2022,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Bridge 2023,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Bridge 2024,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Bridge CC 2018,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Bridge CC 2019,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe CC Dreamweaver,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe CC Indesign,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Character Animator 2023,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Character Animator 2024,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Creative Cloud,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Customization Wizard 9,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Digital Editions 4.5,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Dimension,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Dreamweaver 2019,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Dreamweaver 2020,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Dreamweaver 2021,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Dreamweaver CC 2017,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Dreamweaver CC 2018,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Dreamweaver CC 2019,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Dynamic Media Classic,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Flash Player,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Flash Player 10 ActiveX,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Flash Player 10 Plugin,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Flash Player 11 ActiveX,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Flash Player 18 NPAPI,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Flash Player 19 ActiveX,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Flash Player 19 NPAPI,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Flash Player 20 PPAPI,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Flash Player 24 ActiveX,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Flash Player 30 ActiveX,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Flash Player 30 NPAPI,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Flash Player 32 NPAPI,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Flash Player 32 PPAPI,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Flash Player 9 ActiveX,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Fuse CC (Beta),Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Genuine Service,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Illustrator 2019,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Illustrator 2020,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
