AppName,Category,Approved,POavailable,POnumber,Quantity,POOrderDate,TermStartdate,TermEnddate,POdescription,UnitPrice,TotalAmount,Comments
Cofense Reporter,Licensed,NO,PO available,12204915,6500,16-Nov-23,05/12/23,04/03/27,KnowBe4 Security Awareness Training Diamond Subscription (6500 user licenses); Term: 12/5/2023 - 03/04/2027 REF#2366,98280,98280,Security Awareness Training - Replaced COFENSE PHISHME. Training and Phishing campaigns.Use to meet PCI requirements.
Basawa Barcode Labeler,Licensed,NO,,,,,,,,,,
TestExecuteLite,Licensed,NO,,,,,,,,,,
Telium Form Builder,Licensed,YES,,,,,,,,,,
Velocity License Server,Licensed,YES,PO available,12210335,,,,,,,,
WebCTRL 6.0,Licensed,YES,,,,,,,,,,
webNetwork Slingshot,Licensed,YES,,,,,,,,,,
Wedge Scanner+,Licensed,YES,,,,,,,,,,
VeriFone MxDownloader,Licensed,NO,,,,,,,,,,
Thycotic RabbitMq Helper (x64),Licensed,YES,PO available,11837357,259,12-Feb-20,21/02/20,31/03/21,Security Secret Server for Privileged Users License,587.25,152097.75,not renewed
WinIPAC V2,Licensed,YES,,,,,,,,,,
VNC Server,Licensed,YES,PO available,12228184,1,21-Feb-24,14/03/24,14/03/25,VNC Connect Professional Instant Support - RealVNC,6000,6000,
TECHKON Device Service,Licensed,YES,,,,,,,,,,
TEC-IT TBarCode Office 11,Licensed,YES,,,,,,,,,,
VeriShield File Signing Tool,Licensed,NO,,,,,,,,,,
The Imagination Station (remove only),Licensed,NO,,,,,,,,,,
TrustedLink Enterprise Online Help,Licensed,YES,,,,,,,,,,
Transmission Director X,Licensed,YES,,,,,,,,,,
ThousandEyes Endpoint Agent,Licensed,YES,,,,,,,,,,
Window Book DAT-MAIL,Licensed,NO,,,,,,,,,,
R&R ReportWorks Infinity,Licensed,YES,,,,,,,,,,
SafeNet Authentication Client 10.3 for VeriFone ,Licensed,NO,,,,,,,,,,
PGP Command Line,Licensed,YES,,,,,,,,,,
Simutech,Licensed,YES,,,,,,,,,,
Quicken,Licensed,YES,,,,,,,,,,
PureVPN,Licensed,NO,,,,,,,,,,
Splashtop Wired XDisplay Agent,Licensed,NO,,,,,,,,,,
Smartsheet Live Data Connector (32-bit),Licensed,NO,,,,,,,,,,
Safetycal EZMAKE(R) Sign System,Licensed,NO,,,,,,,,,,
Print Control Proxy,Licensed,NO,,,,,,,,,,
PACE License Support,Licensed,NO,,,,,,,,,,
Respondus LockDown Browser,Licensed,NO,,,,,,,,,,
SunGard LDRPS v1.3,Licensed,YES,,,,,,,,,,
proDAD Adorage,Licensed,NO,,,,,,,,,,
PDF Editor ,Licensed,NO,,,,,,,,,,
KODAK i1200 - Smart Touch,Licensed,YES,,,,,,,,,,
INISAFE Mail v4,Licensed,YES,,,,,,,,,,
Minitab 18,Licensed,YES,,,,,,,,,,
LabelSuite 2,Licensed,YES,,,,,,,,,,
Ivanti Deployment Agent (CCA) 10.1 (FR1),Licensed,YES,PO available,12210335,,,,,,,,
LabelSuite Content,Licensed,YES,,,,,,,,,,
Mocha TN3270 for Windows 7/8/10/11,Licensed,NO,,,,,,,,,,
Jira Software,Licensed,YES,PO available,12141631,1,28-Apr-23,04/05/23,04/05/25,Atlassian Renewal | Term: 5/4/2023 – 5/4/2025 Ref#1866 | Training Credit Acct Ref#1865,599180.14,599180.14,
nProtect Online Security,Licensed,YES,,,,,,,,,,
MagicLine4NX,Licensed,YES,,,,,,,,,,
MOTOTRBO,Licensed,NO,,,,,,,,,,
MegaCryption-PC,Licensed,NO,,,,,,,,,,
IOLinkInterpreterDTMSetup,Licensed,YES,,,,,,,,,,
LogMeIn Rescue Technician Console,Licensed,NO,,,,,,,,,,
NetBrain Smart CLI,Licensed,YES,,,,,,,,,,
NetIQ,Licensed,NO,,,,,,,,,,
InstallShield 2022,Licensed,NO,,,,,,,,,,
KeySharp CertRelay,Licensed,YES,,,,,,,,,,
Nik Collection,Licensed,YES,,,,,,,,,,
Kingsoft PDF to Word SDK,Licensed,NO,,,,,,,,,,
KODAK i1210/i1220 ,Licensed,YES,,,,,,,,,,
Jira Service Desk,Licensed,YES,PO available,12141631,1,28-Apr-23,04/05/23,04/05/25,Atlassian Renewal | Term: 5/4/2023 – 5/4/2025 Ref#1866 | Training Credit Acct Ref#1865,599180.14,599180.14,
IBM BigFix Console,Licensed,YES,PO available,12234927,1,30-Mar-24,01/04/24,31/03/25,IBM PPA Annual Software Renewal + Security Verify Privilege Vault (Secret Server) - 4/1/2024 - 3/31/2025 Ref #2723,1611564.146,1611564.146,
IBM License Metric Tool,Licensed,YES,PO available,12234927,1,30-Mar-24,01/04/24,31/03/25,IBM PPA Annual Software Renewal + Security Verify Privilege Vault (Secret Server) - 4/1/2024 - 3/31/2025 Ref #2723,1611564.146,1611564.146,
erwin Data Modeler,Licensed,YES,PO available,12030407,5,14-Mar-22,20/03/22,19/03/25,ERwin Data Modeler Workgroup Edition Renewal,10799.61,10799.61,
Garmin City_Navigator_North_America_NT_2023_20,Licensed,NO,,,,,,,,,,
Hyperion Intelligence Explorer,Licensed,NO,,,,,,,,,,
Edifecs SpecBuilder,Licensed,YES,PO available,12116977,1,20-Jan-23,01/02/23,31/01/26,SpecBuilder Maintenance and Support Edifecs - Part#: NPN-EDIFE-SPECB-D,7013,7013,
Elixir Scout 4.00.00,Licensed,NO,,,,,,,,,,
IDAutomation.com Code 128 Font Package,Licensed,NO,,,,,,,,,,
ABS PDF Install,Licensed,NO,,,,,,,,,,
3ware Disk Management Tools,Licensed,NO,,,,,,,,,,
C·CURE 9000 Client,Licensed,YES,,,,,,,,,,
Classic Client,Licensed,NO,,,,,,,,,,
CT Communications Server,Licensed,NO,,,,,,,,,,
DataDirect SequeLink 6.0 Service for ODBC Socket,Licensed,YES,,,,,,,,,,
AhnLab,Licensed,YES,,,,,,,,,,
Alteryx Designer,Licensed,NO,,,,,,,,,,
CoDeSys for Automation Alliance,Licensed,NO,,,,,,,,,,
CoDeSys SP RTE,Licensed,NO,,,,,,,,,,
Avaya,Licensed,YES,,,,,,,,,,
BDT 2.13.01,Licensed,YES,,,,,,,,,,
Comm Operator v4.7,Licensed,YES,,,,,,,,,,
Ricoh Software,Licensed,YES,PO available,12234933,1,26-Mar-24,01/04/24,31/03/25,InfoPrint Manager Maintenance Software Renewal,62767.38,67945.68885,
Anaconda,Licensed,YES,PO available,12261703,70,17-Jul-24,01/07/24,30/06/27,"Anaconda User Licenses, Platform Fee and Tier 1 and 2 Support",53400,165200,
