Hostname,Serial number,OS version,Device type,Manufacturer,Model,Last seen,,
IT1132128063,VMware-42 3d 33 ed bb 7b 0b 61-33 93 d3 d1 ec 9d 08 9d,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-07-24T06:37:45Z,,
IT1163732494,VMware-42 3d 1c 71 df 5f c8 cd-b4 e7 b5 f6 50 41 b1 92,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-11T14:21:31Z,,
IT1196347816,VMware-42 3d f0 ed 95 d5 0a 55-a4 55 88 12 b5 af f4 32,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-11T14:33:04Z,,
IT1217066651,VMware-42 24 3c 70 c8 2f 72 f0-ba bb d6 66 0b 4c 90 b7,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-11T16:45:26Z,,
IT1247904272,VMware-42 24 11 41 3e 64 3b 7b-d5 01 c7 9a 40 19 3b 73,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-11T15:00:00Z,,
IT1252202889,VMware-42 24 49 be 35 6b 58 61-f3 5a e6 fe 40 f8 92 17,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-03T18:10:06Z,,
IT1308124960,VMware-42 24 55 fd 18 13 57 83-6b bf 8b 11 86 a0 0f 1e,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-15T16:17:15Z,,
IT134073459,VMware-42 2c 66 1e 52 72 ec 1a-66 7e 9f 55 81 e2 bd 9b,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-11T19:08:43Z,,
IT135381296,VMware-42 0b 79 c6 13 52 2d 45-d8 9d ef db a1 4c 10 7c,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-07-29T07:00:00Z,,
IT1358907248,VMware-42 24 0d b9 56 a5 19 0c-c7 cc d5 23 b0 9e 59 2e,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-03T16:18:11Z,,
IT1370353001,VMware-42 24 85 7e e1 1c 77 6a-b1 c6 ae a1 8a 01 6e ad,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-07-26T18:23:11Z,,
IT1383849733,VMware-42 0b f9 fb 6a 05 c7 34-a1 08 e9 db 27 7f d6 a4,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-11T19:11:29Z,,
IT1479925031,VMware-42 24 84 49 88 0e 68 b4-d5 03 4d b8 98 39 89 86,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-07-27T20:23:31Z,,
IT1504500049,VMware-42 0b 01 45 57 49 f0 cd-d9 f3 79 1f 54 94 33 6e,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-07-29T07:00:00Z,,
IT1505412194,VMware-42 0b 2a 4a 28 e0 43 c2-8b f7 93 c5 ab c4 57 ad,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-07-29T06:00:00Z,,
IT1594134417,VMware-42 24 21 86 ff 33 95 ac-3f 3b 00 b2 ae 8a 05 a6,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-07-31T15:47:45Z,,
IT1675085601,VMware-42 3d 1e ce 22 4c 78 c1-53 7b 05 cc 0a f9 82 13,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-07-25T17:00:00Z,,
